peerPosAR,peerPosNI,MyPos,Time
0.38423547+0.22787055+-0.32430035,0.3433677+0.05641639+-0.7269019,-0.501961+0.029438432+0.3425387,0.80589736,193
0.38415822+0.22782958+-0.32429567,0.34532547+0.056387257+-0.72688305,-0.5019567+0.029453376+0.34251034,0.8067144,194
0.3841203+0.22783038+-0.3242949,0.34748277+0.056262046+-0.72709495,-0.5019684+0.02946098+0.34250987,0.8078222,195
0.3841146+0.2278465+-0.32430214,0.34942257+0.056150403+-0.7272627,-0.50198716+0.029466366+0.34252605,0.8088016,196
0.38412458+0.22787622+-0.3243033,0.34942257+0.056150403+-0.7272627,-0.50200963+0.02947071+0.3425525,0.8088016,197
0.3841404+0.22790018+-0.3243325,0.3508634+0.0560792+-0.72732943,-0.5020223+0.02949384+0.34254918,0.80948013,198
0.38411105+0.22792533+-0.32435113,0.35181046+0.056048557+-0.72730535,-0.50203544+0.029502856+0.34255007,0.8098673,199
0.38409373+0.2279532+-0.3243561,0.35239327+0.056045268+-0.72722226,-0.5020461+0.029508159+0.3425386,0.81004584,200
0.3840806+0.22797441+-0.32434732,0.35276687+0.05605229+-0.7271077,-0.50205445+0.02951257+0.3425166,0.81010616,201
0.3840664+0.22798562+-0.32434297,0.35305884+0.056059584+-0.72697854,-0.5020624+0.029517151+0.34249294,0.81011784,202
0.3840415+0.22800833+-0.32432163,0.35318202+0.05625878+-0.72740465,-0.502075+0.029520197+0.34247768,0.8105678,203
0.38402817+0.22802106+-0.32432824,0.35386884+0.056902744+-0.72862685,-0.502089+0.029520866+0.3424754,0.81200874,204
0.38401344+0.22805439+-0.32431638,0.35474294+0.05779049+-0.73034865,-0.5020732+0.02954427+0.34247902,0.81399727,205
0.3840004+0.22805169+-0.32432988,0.35560194+0.05858844+-0.73185384,-0.5020744+0.029552275+0.34249434,0.81577903,206
0.3840016+0.22806229+-0.3243504,0.35636267+0.059180263+-0.73290706,-0.5020842+0.029555893+0.34250763,0.81709814,207
0.3840192+0.2280781+-0.32435644,0.35701016+0.05957263+-0.73353666,-0.5020956+0.029557293+0.34251276,0.8179738,208
0.3840333+0.22808471+-0.3243776,0.35701016+0.05957263+-0.73353666,-0.5021045+0.029557856+0.342508,0.8179738,209
0.3840413+0.22808924+-0.32438657,0.35756046+0.059824526+-0.7338726,-0.5020432+0.029546354+0.34244478,0.8185337,210
0.38399607+0.22803134+-0.32435477,0.35804337+0.060001194+-0.73404884,-0.50201654+0.029543217+0.3424133,0.8189157,211
0.38397485+0.22801524+-0.32432765,0.35849142+0.06015325+-0.7341628,-0.5020036+0.029542752+0.3424009,0.81922495,212
0.38397145+0.2280088+-0.32431665,0.3589334+0.060308557+-0.7342682,-0.5019982+0.029543724+0.34240144,0.8195243,213
